event,outcome,entrant0,entrant1,entrant2,entrant3,entrant4,entrant5,entrant6,entrant7,entrant8,entrant9,entrant10,entrant11,entrant12,entrant13,entrant14,entrant15,entrant16,entrant17,entrant18,entrant19,entrant20,entrant21,entrant22,entrant23,entrant24,entrant25,entrant26,entrant27,entrant28,entrant29,entrant30,entrant31,entrant32,entrant33,entrant34,entrant35,entrant36,entrant37,entrant38,entrant39,entrant40,entrant41,entrant42,entrant43
dems_win_HOUSE_AK01,0.0,0.72,0.5,0.64,0.45,0.633,0.35,0.6,1.0,0.63,0.8,0.65,0.85,0.7,0.7,1.0,0.6,1.0,0.8,0.2,0.8,1.0,0.7,0.7,0.35,0.7,0.5,0.0,1.0,0.67,0.73,0.5,0.75,0.55,0.0,0.7,0.8,0.75,0.65,0.25,0.45,0.34,0.4,0.1,0.8
dems_win_HOUSE_AZ01,0.0,0.68,0.25,0.45,0.4,0.5,0.55,0.43,1.0,0.43,0.49,0.5,0.68,0.4,0.5,1.0,0.65,0.0,0.5,0.4,0.0,1.0,0.55,0.38,0.35,0.8,0.19,0.0,0.4,0.38,0.4,0.5,0.5,0.45,0.0,0.65,0.8,0.45,0.5,0.25,0.55,0.57,0.38,0.5,0.5
dems_win_HOUSE_AZ06,0.0,0.71,0.1,0.26,0.55,0.125,0.52,0.34,0.7,0.29,0.24,0.5,0.4,0.35,0.35,1.0,0.65,0.0,0.5,0.45,0.0,1.0,0.45,0.38,0.32,0.5,0.64,1.0,0.4,0.41,0.37,0.5,0.5,0.35,0.0,0.35,0.7,0.6,0.5,0.5,0.55,0.55,0.4,0.5,0.5
dems_win_HOUSE_CA13,1.0,0.64,0.8,0.6,0.65,0.55,0.35,0.62,1.0,0.64,0.65,0.45,0.8,0.65,0.65,1.0,0.55,1.0,0.4,0.25,0.0,1.0,0.65,0.61,0.7,0.65,0.9,1.0,0.5,0.68,0.6,0.5,0.65,0.5,1.0,0.8,0.77,0.7,0.43,0.5,0.65,0.6,0.65,0.7,0.7
dems_win_HOUSE_CA22,0.0,0.69,0.8,0.7,0.4,0.775,0.55,0.65,0.6,0.67,0.32,0.56,0.8,0.45,0.65,1.0,0.6,1.0,0.6,0.6,0.0,1.0,0.7,0.61,0.45,0.68,0.76,1.0,0.5,0.7,0.5,0.5,0.65,0.45,0.6,0.4,0.66,0.55,0.32,1.0,0.65,0.8,0.54,0.7,0.6
dems_win_HOUSE_CA41,0.0,0.5,0.5,0.4,0.3,0.567,0.45,0.54,0.3,0.42,0.47,0.56,0.65,0.33,0.5,1.0,0.55,0.0,0.6,0.3,0.0,0.0,0.5,0.47,0.3,0.45,0.4,1.0,0.5,0.37,0.42,0.5,0.5,0.35,0.0,0.56,0.55,0.5,0.4,1.0,0.65,0.31,0.35,0.7,0.55
dems_win_HOUSE_IA01,0.0,0.34,0.1,0.25,0.2,0.455,0.2,0.34,0.6,0.41,0.33,0.25,0.6,0.2,0.35,1.0,0.4,0.0,0.5,0.25,0.0,0.5,0.55,0.39,0.25,0.4,0.49,0.0,0.5,0.48,0.24,0.3,0.65,0.5,0.6,0.35,0.44,0.7,0.8,0.6,0.75,0.56,0.45,0.4,0.6
dems_win_HOUSE_IA03,0.0,0.34,0.1,0.4,0.6,0.415,0.6,0.46,1.0,0.47,0.32,0.25,0.7,0.35,0.45,1.0,0.75,0.0,0.2,0.35,0.0,0.5,0.45,0.4,0.35,0.4,0.44,0.0,0.5,0.24,0.25,0.1,0.35,0.5,0.2,0.85,0.44,0.55,0.7,0.5,0.55,0.67,0.4,0.4,0.6
dems_win_HOUSE_NY04,1.0,0.76,0.9,0.8,0.7,0.655,0.35,0.75,1.0,0.73,0.59,0.6,1.0,0.6,0.7,1.0,0.75,1.0,0.8,0.35,0.0,1.0,0.75,0.75,0.65,0.8,0.62,1.0,0.85,0.8,0.83,0.5,0.9,0.65,1.0,0.5,0.55,0.8,0.8,1.0,0.45,0.89,0.8,0.8,0.8
dems_win_HOUSE_NY17,0.0,0.8,0.3,0.37,0.55,0.576,0.2,0.39,1.0,0.52,0.35,0.55,0.8,0.3,0.6,1.0,0.45,1.0,0.4,0.6,0.0,1.0,0.6,0.59,0.35,0.7,0.52,1.0,0.25,0.48,0.45,0.5,0.4,0.3,0.2,0.5,0.66,0.55,0.56,1.0,0.55,0.9,0.4,0.8,0.8
dems_win_HOUSE_NY19,1.0,0.47,0.6,0.6,0.4,0.625,0.4,0.46,1.0,0.5,0.39,0.6,0.65,0.4,0.5,1.0,0.45,1.0,0.4,0.51,0.0,1.0,0.7,0.46,0.55,0.7,0.81,1.0,0.5,0.74,0.5,0.7,0.5,0.65,0.8,0.5,0.77,0.9,0.6,1.0,0.55,0.45,0.7,0.8,0.3
dems_win_HOUSE_OR05,1.0,0.6,0.55,0.62,0.6,0.7,0.6,0.53,1.0,0.6,0.55,0.45,0.7,0.62,0.65,1.0,0.45,1.0,0.9,0.55,0.0,1.0,0.6,0.62,0.55,0.6,0.55,0.0,0.55,0.55,0.5,0.6,0.65,0.55,1.0,0.4,0.22,0.85,0.65,0.75,0.55,0.67,0.7,0.7,0.7
dems_win_HOUSE_PA10,0.0,0.37,0.25,0.4,0.25,0.678,0.2,0.3,0.0,0.5,0.52,0.55,0.65,0.25,0.5,1.0,0.6,1.0,0.95,0.4,0.0,1.0,0.45,0.43,0.2,0.6,0.51,1.0,0.45,0.46,0.31,0.5,0.65,0.45,0.0,0.65,0.99,0.48,0.8,0.25,0.6,0.34,0.3,0.6,0.7
dems_win_HOUSE_WA03,1.0,0.51,0.5,0.45,0.6,0.645,0.65,0.52,0.8,0.45,0.54,0.6,0.7,0.5,0.65,1.0,0.7,1.0,0.65,0.45,0.7,1.0,0.6,0.45,0.45,0.55,0.52,1.0,0.5,0.58,0.51,0.8,0.65,0.55,0.8,0.75,0.51,0.82,0.7,0.8,0.8,0.56,0.35,0.7,0.7
